PCA0,PCA1
4.359996884,-0.173257191
4.241913314,0.07957801
4.119417099,0.200109147
3.679006924,0.52109522
3.512774909,0.58532316
4.228690411,0.097870942
2.548231572,1.022919279
2.175076111,1.394078963
5.925550583,-1.228218409
5.594683144,-0.770915483
5.693933571,-0.908871684
5.711093331,-0.931802564
5.402220064,-0.540868197
4.677162961,0.198306829
4.116851461,-0.181371569
3.97542001,-0.094733633
2.569778124,1.21634679
2.55960668,1.220579551
2.987733378,0.877950921
4.009218554,-0.288754518
-0.745259101,-1.361357477
-0.812877453,-1.531349045
-1.52888643,-0.312898355
-1.742247699,-0.075384962
-2.654211194,0.259758655
-2.338167195,-0.089149944
-2.626744089,0.257103469
-2.221628451,-0.041463768
-2.349943738,-0.153120201
-2.22748717,-0.13168048
-2.275020659,-0.075069496
-2.167954289,-0.201970723
-0.671034463,-1.502014683
-0.71817828,-1.473135371
-1.419805796,-0.804829689
-1.199349973,-1.053349062
-1.915634936,-0.072379804
-1.815130004,-0.533247837
4.311823495,0.366582161
1.323493417,-2.097185235
3.49655081,1.75507674
4.037267855,0.822917841
3.753353386,1.161645729
4.171592465,0.680573067
3.924488967,1.01903932
1.097525812,2.149706139
3.548484475,0.568313626
2.525545259,0.912838621
0.098231428,2.137513144
-0.029585338,2.253713017
3.396164998,1.183575429
3.944596304,-0.252193159
3.719735055,-0.174736234
3.099542452,0.600374355
-1.75735439,-0.062606687
-1.759588299,-0.060575811
-1.768740397,-0.05225552
-1.781605647,-0.033742636
-1.898136594,-0.091062983
-1.394330442,-0.606714453
-2.274914154,-0.206341708
-2.317791379,-0.16736147
-1.947408074,0.211607543
-1.950244427,0.214186108
-2.412336444,0.080242467
-1.982850445,-0.495736045
-0.618366921,-1.334383934
-2.278055147,-0.171684768
-2.344060438,-0.098207793
-2.408128815,-0.026886988
2.962885578,0.927308729
2.624532204,1.234910149
2.421521244,-0.027725513
3.930892522,0.310091544
0.717485855,-0.95346006
1.890654569,0.958187734
-0.236652524,0.53791946
2.599175193,-0.039804644
1.936578966,-0.552704756
1.263458559,-1.300943743
0.594204402,-1.180758708
4.348745171,0.038534694
4.527001801,-0.108206429
3.425952961,0.747593463
3.727716267,0.345828252
-0.462800068,-0.020013755
3.190743613,0.23090982
2.396984136,1.01890355
-2.419707093,0.122548541
-1.782464792,-0.614971477
-1.20970688,-1.017384393
-1.372596247,-0.767701321
-1.170534694,-0.408850865
-2.260417375,-0.226085523
-3.272979091,0.033977726
-1.543246761,-0.42670159
-1.275219977,-0.734348058
-2.154870058,-0.32217623
-3.194100447,0.809591712
-0.985997786,-0.536001643
3.672125134,-1.16854723
1.496298357,0.242270549
1.053315975,-0.259947623
0.356978593,-1.074558811
-1.605452682,-0.562329493
-1.485382618,-0.706464496
-2.25107362,-0.408669388
-2.278004094,-0.384186546
-2.251851276,-0.411575149
-2.27035337,-0.394754657
-2.11698403,-0.127508509
-2.068591857,-0.181558908
-2.186339001,-0.039434392
-1.498031747,-0.7111534
-2.25168753,-0.32555735
-3.263212407,-0.174683965
-3.282497053,-0.155147027
4.709752586,-0.486591483
2.391208746,0.048098583
5.614786696,-0.122358542
4.949859546,0.272354426
4.698002075,0.466751448
4.05957169,-0.746851163
3.722539662,-0.050562935
0.926431107,-1.019977549
0.109881462,-1.023914513
-0.768379685,-0.203452314
-0.997650776,-0.33818155
-0.902863241,-0.479080388
-1.060755983,0.148710555
-1.085807672,0.185949142
-0.116754765,-1.248765971
-0.25765065,-0.628019852
-0.435939748,0.217145768
-1.673282218,-0.714768994
-1.563811428,-0.365561678
-1.196206405,-0.351054933
-3.35023014,0.799547611
-3.299170038,0.300682812
-3.40686392,0.419526738
-3.190233268,0.190260313
-2.594345987,0.190082428
-2.64306719,0.24561704
-2.911226396,0.487819682
-2.957586483,0.551636819
-1.790132318,-0.410971796
-2.117055182,-0.554315499
-2.893618444,-0.024939286
-3.632631237,0.571694035
-3.607185953,0.552279241
-3.630429134,0.596995768
4.068841097,0.5325475
5.240223991,-0.961937413
4.570165536,-0.014263645
4.654181905,-0.755449957
4.285420138,-0.155544438
0.525588412,-1.566633082
0.342345577,-1.480093648
-0.054035422,-1.297513787
-0.093001233,-1.262089465
-0.758594785,-0.511819763
-1.72238397,0.143759885
-2.319166516,0.696045152
-3.24371264,0.910486932
-3.282589635,0.960118737
-3.267071417,0.936960123
-3.296870952,0.644661282
-2.396243173,-0.013310796
-1.490285728,-0.636526564
-1.678827127,-0.431019101
-1.648578603,-0.472227464
-1.514713397,-0.613475388
-1.349342505,-0.39037011
-1.239577655,-0.533776664
-1.579028659,-0.749348805
-1.422663083,-0.601390144
-1.362961717,-0.687086517
-1.903348176,-0.644226629
-2.071093227,-0.516879244
-2.110309684,-0.476970702
4.97046212,-0.618016444
2.08595524,-0.220157839
1.574966244,-1.693371017
4.537030898,-0.375651266
3.757444072,-0.701186177
3.654919736,0.849511142
0.441554964,-0.791593553
-0.062527694,-0.333049452
-0.841157194,0.786592756
-1.303487867,0.627600072
-1.662001857,0.700584262
-1.621235224,0.641813361
-1.71920226,0.736913685
-1.7462701,0.761521408
-1.229343069,0.094130051
-1.053010702,0.066480806
-1.424559542,0.438035418
-2.969914354,0.464448516
-3.026063034,0.547911852
-3.032647005,0.557698728
-2.869183597,0.732968197
-2.244053681,0.188164559
-2.888369991,0.702204284
-2.179901365,0.081624625
-2.477420955,0.417266483
-2.746181321,0.562991122
-3.045011426,0.706343462
-2.994810313,0.571064011
-2.941068117,0.482514364
-3.605892204,0.388364336
-3.675338677,0.457294605
-3.323876349,0.395846496
-3.703308758,0.697263536
-3.151012359,0.297645276
-3.342231024,0.517743605
-3.494348758,0.536819679
-3.881418194,0.777142646
-3.955804047,0.892941201
-3.9969071,0.936120248
5.038095484,-0.844892978
3.991107574,0.408975701
3.003892458,0.664481024
3.014026525,0.673866869
1.702245103,-0.864251282
-0.157090871,0.45122812
-1.067752277,-0.325062539
-1.165954539,-0.046558446
-1.257978122,-0.07330874
-1.778308245,-0.04397343
-2.242897383,-0.457177958
-1.606967238,-0.032118115
3.386641311,0.360125752
3.619361657,-0.202679297
3.373958651,0.207145337
3.483686397,-0.209427119
3.211880851,0.040642338
3.499504344,-0.522958058
2.30125893,-1.176747988
1.978267533,-0.817194528
1.693051654,-0.527665647
2.829146853,1.665054888
2.92515689,1.576585521
1.29599481,1.605561064
1.374552145,1.523483539
1.871388593,2.609069018
1.743291395,2.309564177
0.650940381,1.229435647
-0.118984797,0.170389415
-0.050929199,0.317884854
-0.510488343,0.304499934
-2.297321605,0.251557609
2.996759391,1.228327196
-3.326431395,0.172215438
-1.154757586,0.34590117
-0.593687378,-0.295698375
-1.371897905,-0.588599464
3.465422195,0.458015349
0.996772179,-1.622310366
3.744840865,-0.368861292
3.660400524,0.057916802
4.306339296,-0.121719825
3.470342512,0.22584718
3.431648271,0.267052004
3.068115917,0.535834679
2.525427894,0.969949205
1.879787705,-0.080400326
1.452084338,-1.736513867
0.916225207,-1.139996418
0.448803047,-0.707907099
-1.579743747,-0.507827884
-1.512297142,-0.609987834
-1.416586176,-0.583692989
-1.900750564,0.130619607
-1.415601493,-0.304900164
-1.114982939,-0.139791322
-0.805419953,-0.623547009
-2.495095484,0.032663393
-2.473480427,0.124198084
-2.416436538,0.08373578
-2.942861796,0.403130704
-3.305553549,0.733748471
-3.750776481,0.511532318
3.720277444,0.722239105
3.837851745,0.822092481
4.477792101,0.411998529
3.698452672,1.330407325
4.147480449,-0.930377437
3.080126588,0.483728247
2.998402877,1.059202569
-1.718700481,-0.173686481
-0.86055726,-0.768258352
-0.202045173,-1.420135468
-2.156896537,0.122923361
-2.119631804,0.0776791
-1.939022152,0.088517638
-1.029689509,-0.11706543
-0.777907562,-1.325590693
-2.533146168,0.09805453
-2.220053161,0.092378417
-1.730782875,-0.486771459
-2.172334781,0.03150655
-1.510278638,0.050578433
-2.722255639,0.469784408
-2.558913583,0.33847597
-1.687421212,-0.631584548
-1.820855767,-0.494190485
1.248537805,0.453131047
0.03280066,-1.811740556
4.655279221,-0.026444833
4.581480708,0.212454445
4.1836404,0.656571962
4.072821242,0.306952812
4.326625692,0.24831332
3.819581057,0.012650372
3.54862208,0.363211073
3.391303323,0.221943909
3.016581844,0.184748535
3.604219045,-0.561718496
1.361648458,-2.328658163
0.726353791,-1.630285037
0.656075094,-1.626294204
0.441178351,-1.370262666
0.375580889,-1.339251798
0.342696584,-1.285709515
0.498483163,-1.415838026
0.743631866,-1.80513056
-0.178381198,-0.502187503
-0.625887867,-0.502716549
-1.518061512,-0.065749429
-1.412789853,-0.114098312
-1.322388867,-0.630910451
-1.048407933,-0.864671902
-0.939752146,-0.703975283
-0.935705708,-0.637528499
-0.77692395,-0.176037813
-1.409604999,0.232940141
-1.049087255,-0.154428295
-1.200299174,-0.590472306
-0.651614909,0.068220766
-1.315916114,0.168869727
0.116198709,-1.173213736
-2.946882721,0.54038631
-2.922296472,0.499000486
-2.644461013,0.203946935
-1.855884125,-0.64443028
-2.223734591,0.289562304
-2.395321202,0.47421012
-1.758696313,-1.008717295
-2.175455152,0.410600216
-2.309611793,0.564678134
-2.493240837,0.614183424
-2.770914936,0.63504556
-2.412272518,0.534026273
-2.673145734,0.708895401
-2.421630087,0.378096299
-2.32248861,-0.003711331
-2.674308842,0.564564688
-2.369036086,0.123628321
-2.641221639,0.36377677
-1.918426594,-0.100746865
-2.559600284,0.329077982
4.420387516,-0.614623724
4.323139649,-1.492305294
2.869297684,0.193432581
2.705687327,0.394716827
1.89779409,0.127137097
1.675385156,0.217806555
1.518307021,-0.233781768
1.529920175,-0.228933008
-0.010527591,0.056261823
0.094262186,0.185124088
0.006697228,0.315286783
-0.003693265,0.33073194
-1.198190324,0.412767545
-1.351194831,0.256418101
0.498270152,-0.747098455
-1.264790597,0.128620939
-1.313935126,0.201672814
-1.321585301,0.213044571
-0.85881705,-0.105544206
-1.703310736,0.47468717
-1.770464009,0.560272784
-1.779858257,0.574237054
-1.915507897,0.683651194
-1.891044604,0.64728724
-1.171488698,0.152092481
-1.371659737,0.329137783
-1.540228548,0.424936381
-1.482949256,0.062701209
-1.902827249,-0.418936708
-2.820594362,-0.144654056
-2.724178226,-0.212719665
-2.743759638,-0.208890283
-2.079800829,0.079023406
-2.774184514,0.255958549
-2.605666355,0.061731913
-2.529446433,0.22654525
-2.868257493,0.292555756
-2.946817154,0.218296254
-2.789467786,0.287848717
5.028512555,0.146206654
4.866059799,0.438464386
4.238968128,-0.272129393
3.797646295,0.42767197
3.668951289,0.570935026
2.452605946,0.884335064
2.406275547,1.518556179
2.132772632,1.743475795
2.18289178,0.656652605
1.990027126,0.984538716
2.497480111,0.545814329
2.481406819,0.558618206
-0.052119996,-0.764777036
0.94796262,-0.841658147
